product_id,product_name,category,price,stock_quantity,created_at
1,Keyboard 1,Electronics,1484.39,250,2022-04-24 01:04:46
2,Sneakers 2,Fashion,1474.26,692,2021-11-13 14:50:27
3,Notebook 3,Electronics,1183.03,32,2022-10-09 19:18:29
4,Laptop 4,Electronics,441.18,517,2022-01-10 08:54:56
5,Headphones 5,Electronics,1124.68,733,2023-03-05 06:19:49
6,Notebook 6,Home,444.78,603,2022-02-21 17:38:12
7,T-Shirt 7,Electronics,1518.82,163,2023-05-24 14:48:31
8,Protein Bar 8,Sports,559.35,220,2022-04-21 13:23:01
9,Backpack 9,Electronics,190.03,99,2023-01-18 12:46:31
10,Backpack 10,Sports,1209.43,826,2022-06-29 07:56:53
11,Laptop 11,Beauty,921.55,127,2023-04-29 00:29:35
12,Protein Bar 12,Electronics,1106.32,849,2021-04-08 12:38:55
13,Headphones 13,Sports,1156.82,721,2021-05-12 08:27:43
14,Keyboard 14,Electronics,1324.22,791,2021-03-27 17:47:11
15,T-Shirt 15,Electronics,1711.36,887,2023-01-17 18:55:16
16,Keyboard 16,Home,559.56,650,2022-07-15 16:33:25
17,Backpack 17,Fashion,743.51,214,2021-07-16 04:57:31
18,T-Shirt 18,Beauty,1873.63,663,2021-01-20 22:32:36
19,Keyboard 19,Books,1271.78,546,2022-09-03 14:55:19
20,Sneakers 20,Fashion,927.21,276,2021-12-21 20:57:30
21,Notebook 21,Fashion,1370.81,863,2022-11-09 23:06:51
22,Laptop 22,Fashion,1644.5,824,2021-07-28 02:46:57
23,Backpack 23,Home,539.14,216,2023-04-26 07:55:47
24,Headphones 24,Beauty,632.78,671,2021-03-23 18:25:39
25,Coffee Maker 25,Home,1769.94,658,2023-04-02 14:54:40
26,Coffee Maker 26,Fashion,533.44,252,2022-10-01 04:22:51
27,Notebook 27,Books,529.17,598,2023-01-07 22:00:23
28,Protein Bar 28,Books,801.8,224,2021-11-12 20:14:49
29,Monitor 29,Books,989.56,773,2021-12-31 13:34:48
30,Laptop 30,Electronics,309.92,163,2022-02-24 02:07:50
31,Protein Bar 31,Books,131.74,390,2022-09-15 20:39:06
32,Headphones 32,Home,1060.58,994,2022-11-30 01:20:02
33,Notebook 33,Electronics,1362.17,117,2023-01-25 14:59:41
34,Notebook 34,Sports,1538.35,348,2023-03-16 17:33:34
35,Keyboard 35,Sports,872.36,464,2021-10-26 22:52:09
36,Laptop 36,Beauty,1752.33,269,2021-01-30 17:13:15
37,Notebook 37,Fashion,1017.82,108,2022-11-22 14:46:00
38,T-Shirt 38,Beauty,1017.79,203,2023-03-17 04:53:41
39,Monitor 39,Sports,1526.21,552,2021-08-09 04:05:08
40,Notebook 40,Electronics,1199.89,500,2022-10-31 22:39:41
41,Laptop 41,Electronics,1858.55,899,2022-07-24 06:20:55
42,T-Shirt 42,Fashion,120.56,899,2023-03-15 09:11:29
43,Headphones 43,Electronics,175.88,497,2022-11-28 00:40:48
44,Keyboard 44,Books,1532.84,131,2022-04-09 05:05:54
45,Coffee Maker 45,Books,334.43,540,2022-02-09 05:36:18
46,Headphones 46,Home,1928.9,951,2021-04-09 02:39:50
47,Notebook 47,Beauty,1381.29,730,2021-09-02 07:44:53
48,T-Shirt 48,Home,1990.32,665,2021-09-21 14:59:52
49,Backpack 49,Home,1799.73,462,2022-12-11 09:20:27
50,Keyboard 50,Fashion,453.27,346,2022-10-08 06:50:37
51,Laptop 51,Books,1110.07,602,2023-05-17 03:52:42
52,Sneakers 52,Electronics,146.63,646,2021-06-07 07:47:14
53,Laptop 53,Fashion,139.46,32,2021-06-22 06:53:37
54,Backpack 54,Electronics,1030.74,285,2023-04-25 07:41:29
55,Coffee Maker 55,Fashion,1080.77,740,2021-05-13 10:04:29
56,Headphones 56,Books,947.98,803,2021-04-15 03:24:01
57,Coffee Maker 57,Home,384.87,99,2022-02-01 02:44:58
58,Protein Bar 58,Sports,850.04,478,2021-02-02 15:10:51
59,Laptop 59,Beauty,1308.64,661,2021-09-16 19:14:16
60,Keyboard 60,Electronics,808.23,347,2023-01-28 21:23:59
61,Keyboard 61,Fashion,387.22,549,2022-02-08 11:10:58
62,Coffee Maker 62,Fashion,846.65,285,2021-10-11 04:43:24
63,Coffee Maker 63,Fashion,1749.6,77,2022-07-01 21:37:36
64,Coffee Maker 64,Books,200.33,667,2021-09-23 04:40:45
65,Notebook 65,Electronics,1938.15,948,2023-03-04 07:40:25
66,Sneakers 66,Fashion,815.8,492,2021-07-15 20:19:23
67,Sneakers 67,Home,1805.37,168,2023-02-08 12:00:50
68,Protein Bar 68,Electronics,1970.69,271,2023-02-28 03:16:57
69,Coffee Maker 69,Sports,848.9,980,2021-10-08 19:21:02
70,Notebook 70,Beauty,1438.22,158,2022-11-11 07:44:03
71,Sneakers 71,Sports,439.31,59,2021-12-04 04:50:24
72,Headphones 72,Beauty,1086.68,765,2021-03-02 09:09:34
73,Backpack 73,Electronics,105.03,488,2021-03-11 01:10:43
74,Notebook 74,Books,319.08,983,2021-12-18 06:45:05
75,Notebook 75,Electronics,1703.43,70,2022-06-29 15:18:28
76,Headphones 76,Electronics,1352.05,240,2021-05-19 21:10:15
77,Protein Bar 77,Electronics,1883.48,583,2023-05-02 06:03:05
78,Sneakers 78,Books,1191.07,634,2022-07-11 13:04:18
79,Keyboard 79,Home,1316.46,578,2021-07-10 13:41:17
80,Notebook 80,Sports,1869.74,209,2023-01-28 06:24:08
81,Backpack 81,Fashion,534.9,134,2022-05-19 14:21:16
82,T-Shirt 82,Home,635.77,769,2021-03-02 10:14:04
83,Keyboard 83,Electronics,919.28,576,2022-04-14 09:46:00
84,Keyboard 84,Electronics,1077.58,518,2023-03-04 01:39:20
85,T-Shirt 85,Fashion,1866.85,902,2021-11-19 07:15:30
86,Keyboard 86,Fashion,742.21,161,2021-02-17 01:52:55
87,Coffee Maker 87,Books,1408.56,626,2022-11-21 15:42:19
88,Notebook 88,Electronics,1337.39,567,2023-05-19 16:30:56
89,T-Shirt 89,Beauty,211.66,899,2022-12-09 07:51:05
